"fecha";"Run Fondo";"serie fondo";"intervalo_de_tiempo";"rentabilidad_acumulada"
2023-01-31;"8976";APV-AP;"1M";0.009087408242951067
2023-01-31;"8976";APV-AP;"3M";0.027202101964819203
2023-01-31;"8976";APV-AP;"6M";0.0530566747833614
2023-01-31;"8976";APV-AP;"1Y";0.08799881244187957
2023-01-31;"8976";APV-AP;YTD;0.009382102692012673
2023-02-01;"8976";APV-AP;"1M";0.009087151136495386
2023-02-01;"8976";APV-AP;"3M";0.027205612481950414
2023-02-01;"8976";APV-AP;"6M";0.05310288189689483
2023-02-01;"8976";APV-AP;"1Y";0.08819120031574523
2023-02-01;"8976";APV-AP;YTD;0.009676726046401907
2023-02-02;"8976";APV-AP;"1M";0.009087173178572439
2023-02-02;"8976";APV-AP;"3M";0.02720902460513086
2023-02-02;"8976";APV-AP;"6M";0.05315038298532193
2023-02-02;"8976";APV-AP;"1Y";0.0883802982458084
2023-02-02;"8976";APV-AP;YTD;0.00997134940079114
2023-02-03;"8976";APV-AP;"1M";0.00908719353329479
2023-02-03;"8976";APV-AP;"3M";0.02721079183990449
2023-02-03;"8976";APV-AP;"6M";0.053196837636640515
2023-02-03;"8976";APV-AP;"1Y";0.08856922575527482
2023-02-03;"8976";APV-AP;YTD;0.010266157240687246
2023-02-04;"8976";APV-AP;"1M";0.009087490200835546
2023-02-04;"8976";APV-AP;"3M";0.02721274302349408
2023-02-04;"8976";APV-AP;"6M";0.05324376020993693
2023-02-04;"8976";APV-AP;"1Y";0.08875829851869477
2023-02-04;"8976";APV-AP;YTD;0.010561241808843658
2023-02-05;"8976";APV-AP;"1M";0.009087417533083286
2023-02-05;"8976";APV-AP;"3M";0.02721412300960968
2023-02-05;"8976";APV-AP;"6M";0.05329026998405628
2023-02-05;"8976";APV-AP;"1Y";0.08894692021586925
2023-02-05;"8976";APV-AP;YTD;0.010856049648739763
2023-02-06;"8976";APV-AP;"1M";0.009087343234653211
2023-02-06;"8976";APV-AP;"3M";0.02721588212848247
2023-02-06;"8976";APV-AP;"6M";0.053336746491520204
2023-02-06;"8976";APV-AP;"1Y";0.0891358041618846
2023-02-06;"8976";APV-AP;YTD;0.011151041974142739
2023-02-07;"8976";APV-AP;"1M";0.009087082415511372
2023-02-07;"8976";APV-AP;"3M";0.027217637677488415
2023-02-07;"8976";APV-AP;"6M";0.053377224343218455
2023-02-07;"8976";APV-AP;"1Y";0.08932366056482532
2023-02-07;"8976";APV-AP;YTD;0.011446126542298929
2023-02-08;"8976";APV-AP;"1M";0.009087099422925293
2023-02-08;"8976";APV-AP;"3M";0.027217658005847634
