"Run Fondo";"serie_fm";"caracteristicas";"fecha_inicio";"fecha_termino";"valor_inicial_cuota";"continuadora_de_serie"
"8011";UNICA;;1980-11-04;2002-07-17;0;
"8011";"1";;2002-07-18;2006-04-07;17693.641;UNICA
"8011";"2";;2002-07-18;2006-04-07;17693.641;UNICA
"8011";"3";;2002-07-18;2010-04-07;17693.641;UNICA
"8011";APVC1;APV;2009-10-20;2012-01-02;1000;
"8011";APVC2;APV;2009-10-20;2012-01-02;1000;
"8011";APVC3;APV;2009-10-20;2012-01-02;1000;
"8011";APVC4;APV;2009-10-20;2012-01-02;1000;
"8011";E;;2009-10-20;2012-12-31;1000;
"8011";F;;2009-10-20;2012-12-31;1000;
"8011";AC;;;2020-10-01;1000;
"8011";APVAC;APV;;2020-10-01;1000;
"8011";"100";;2006-04-08;2022-04-29;17693.641;"1"
"8011";C;APV;2009-10-20;2022-04-29;1000;
"8011";CASH;;2006-04-08;2022-04-29;17693.641;"2"
"8011";LP180;;2013-01-01;2022-04-29;1104.6138;F
"8011";LP3;;2013-01-01;2022-04-29;1107.375;E
"8011";LPI;;2016-12-19;2022-04-29;1000;
"8011";PLAN1;APV;2012-01-03;2022-04-29;1009.0488;APVC1
"8011";PLAN2;APV;2012-01-03;2022-04-29;1054.9328;APVC2
"8011";PLAN3;APV;2012-01-03;2022-04-29;1024.2227;APVC3
"8011";PLAN4;APV;2012-01-03;2022-04-29;1006.999;APVC4
"8011";B;APV;2009-10-20;;1000;
"8011";G;;2010-04-08;;20782.0691;"3"
"8011";GLB;;2022-04-30;;1000;A
"8011";H;APV;2022-04-30;;1000;C
"8011";I;;2018-06-14;;1000;
"8011";I2;;2023-01-05;;1000;
"8011";INV;;2022-04-30;;1000;LP180
"8011";K;APV;2022-05-02;;1000;
"8011";O;;2022-02-01;;1000;
"8011";P;APV;2022-04-30;;1000;
"8011";PAT;;2022-04-30;;1000;LPI
"8011";UNICA;;1980-11-04;2002-07-17;0;
"8011";"1";;2002-07-18;2006-04-07;17693.641;UNICA
"8011";"2";;2002-07-18;2006-04-07;17693.641;UNICA
"8011";"3";;2002-07-18;2010-04-07;17693.641;UNICA
"8011";APVC1;APV;2009-10-20;2012-01-02;1000;
"8011";APVC2;APV;2009-10-20;2012-01-02;1000;
"8011";APVC3;APV;2009-10-20;2012-01-02;1000;
"8011";APVC4;APV;2009-10-20;2012-01-02;1000;
"8011";E;;2009-10-20;2012-12-31;1000;
"8011";F;;2009-10-20;2012-12-31;1000;
"8011";AC;;;2020-10-01;1000;
"8011";APVAC;APV;;2020-10-01;1000;
"8011";"100";;2006-04-08;2022-04-29;17693.641;"1"
"8011";C;APV;2009-10-20;2022-04-29;1000;
"8011";CASH;;2006-04-08;2022-04-29;17693.641;"2"
"8011";LP180;;2013-01-01;2022-04-29;1104.6138;F
